DATE,NEWORDER
2007-09-01,65007.0
2007-10-01,65138.0
2007-11-01,65482.0
2007-12-01,68042.0
2008-01-01,68327.0
2008-02-01,66639.0
2008-03-01,66473.0
2008-04-01,69532.0
2008-05-01,68680.0
2008-06-01,67801.0
2008-07-01,67546.0
2008-08-01,66182.0
2008-09-01,63660.0
2008-10-01,59476.0
2008-11-01,60592.0
2008-12-01,55677.0
2009-01-01,49642.0
2009-02-01,50266.0
2009-03-01,49105.0
2009-04-01,46980.0
2009-05-01,48750.0
2009-06-01,50579.0
2009-07-01,50949.0
2009-08-01,49897.0
2009-09-01,52915.0
2009-10-01,51997.0
2009-11-01,53032.0
2009-12-01,54468.0
2010-01-01,52324.0
2010-02-01,53488.0
2010-03-01,56255.0
2010-04-01,52467.0
2010-05-01,57284.0
2010-06-01,59629.0
2010-07-01,56376.0
2010-08-01,58455.0
2010-09-01,59882.0
2010-10-01,57529.0
2010-11-01,60725.0
2010-12-01,61945.0
2011-01-01,60825.0
2011-02-01,59167.0
2011-03-01,62155.0
2011-04-01,61512.0
2011-05-01,63953.0
2011-06-01,63572.0
2011-07-01,64650.0
2011-08-01,64543.0
2011-09-01,65654.0
2011-10-01,67577.0
2011-11-01,65015.0
2011-12-01,68761.0
2012-01-01,67493.0
2012-02-01,69932.0
2012-03-01,69528.0
2012-04-01,67727.0
2012-05-01,69172.0
2012-06-01,66841.0
2012-07-01,65239.0
2012-08-01,63683.0
2012-09-01,63886.0
2012-10-01,66249.0
2012-11-01,66575.0
2012-12-01,66680.0
2013-01-01,69427.0
2013-02-01,65868.0
2013-03-01,65687.0
2013-04-01,67329.0
2013-05-01,68816.0
2013-06-01,68874.0
2013-07-01,66019.0
2013-08-01,65714.0
2013-09-01,66280.0
2013-10-01,64813.0
2013-11-01,68058.0
2013-12-01,67476.0
2014-01-01,67762.0
2014-02-01,67070.0
2014-03-01,68342.0
2014-04-01,66364.0
2014-05-01,65673.0
2014-06-01,69509.0
2014-07-01,67494.0
2014-08-01,68369.0
2014-09-01,69193.0
2014-10-01,65659.0
2014-11-01,63627.0
2014-12-01,65706.0
2015-01-01,64937.0
2015-02-01,64192.0
2015-03-01,64407.0
2015-04-01,64131.0
2015-05-01,62340.0
2015-06-01,63624.0
2015-07-01,63441.0
2015-08-01,63405.0
2015-09-01,63298.0
2015-10-01,63356.0
2015-11-01,62334.0
2015-12-01,60537.0
2016-01-01,61074.0
2016-02-01,60710.0
2016-03-01,59891.0
2016-04-01,60168.0
2016-05-01,58923.0
2016-06-01,59059.0
2016-07-01,59333.0
2016-08-01,60984.0
2016-09-01,58991.0
2016-10-01,59052.0
2016-11-01,58969.0
2016-12-01,59072.0
2017-01-01,61202.0
2017-02-01,61363.0
2017-03-01,61541.0
2017-04-01,61763.0
2017-05-01,61509.0
2017-06-01,60755.0
2017-07-01,61558.0
2017-08-01,61667.0
2017-09-01,63859.0
2017-10-01,63801.0
2017-11-01,63309.0
2017-12-01,63596.0
2018-01-01,62956.0
2018-02-01,62836.0
2018-03-01,63326.0
2018-04-01,64637.0
2018-05-01,64510.0
2018-06-01,66115.0
2018-07-01,68474.0
2018-08-01,65799.0
2018-09-01,65848.0
2018-10-01,66446.0
2018-11-01,64336.0
2018-12-01,65150.0
2019-01-01,66454.0
2019-02-01,65816.0
2019-03-01,67379.0
2019-04-01,66092.0
2019-05-01,65051.0
2019-06-01,66439.0
2019-07-01,66224.0
2019-08-01,65864.0
2019-09-01,65769.0
2019-10-01,65954.0
2019-11-01,66545.0
2019-12-01,66240.0
2020-01-01,66824.0
2020-02-01,66453.0
2020-03-01,65608.0
2020-04-01,61299.0
2020-05-01,62226.0
2020-06-01,64885.0
2020-07-01,66585.0
2020-08-01,68184
2020-09-01,69507
2020-10-01,70681
2020-11-01,71504
2020-12-01,72570
2021-01-01,72924
